tahun,Indikator,Satuan,jumlah
2012,"Anggota (Pelajar/Mahasiswa, PNS, Swasta) ",Orang,163225
2013,"Anggota (Pelajar/Mahasiswa, PNS, Swasta) ",Orang,168984
2012,"Pengunjung (Pelajar/ Mahasiswa, PNS, Swasta) ",Orang,340903
2013,"Pengunjung (Pelajar/ Mahasiswa, PNS, Swasta) ",Orang,1142413
2012,Koleksi Buku ,Eks,966254
2013,Koleksi Buku ,Eks,1060943
2012,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem ,3
2013,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem ,3
2012,Perpustakaan Berstandar Internasional ,Gedung,2
2013,Perpustakaan Berstandar Internasional ,Gedung,2
2012,Perpustakaan Berbasis Teknologi Informasi ,Perpustakaan ,4
2013,Perpustakaan Berbasis Teknologi Informasi ,Perpustakaan ,2
2012,Komunitas Perpustakaan ,Organisasi,4
2013,Komunitas Perpustakaan ,Organisasi,4
2012,Taman Bacaan Masyarakat ,Sanggar ,140
2013,Taman Bacaan Masyarakat ,Sanggar ,150
2012,Pengguna Jasa Perpustakaan Keliling ,Orang,214832
2013,Pengguna Jasa Perpustakaan Keliling ,Orang,236315
