Provinsi;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;
;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;;Angka Partisipasi Murni ( A P M );;
;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C;SD/MI/Paket A;SMP/Mts/Paket B;SM/SMK/MA/Paket C
ACEH;92.51;74.87;61.37;94.66;78.61;61.82;97.09;82.57;63.43;97.8;85.2;69.2;97.99;85.55;69.82;98.16;85.73;70;98.54;86.31;70.15;99.1;86.38;70.26;99.12;86.48;70.35
SUMATERA UTARA;91.61;68.08;57.48;93.35;70.57;60.29;95.64;73.98;62.19;96.29;78.33;65.8;96.47;78.48;66.69;96.57;78.71;66.85;97.22;79.12;67.05;97.63;79.25;67.27;97.67;80.26;67.53
SUMATERA BARAT;93.44;67.77;54.78;95.77;70.08;55.68;97.1;72.56;61;97.92;75.61;66.52;98.12;76;66.9;98.23;76.19;67.12;98.64;76.47;67.3;98.66;77.08;67.48;98.67;78.1;68.53
RIAU;91.63;66.26;53.31;92.62;70.18;53.06;95.33;74.23;58.74;96.42;77.67;62.31;96.63;78.22;62.6;96.74;78.53;62.76;97.08;78.87;63.02;97.26;79.12;63.47;97.32;79.94;63.55
JAMBI;92.36;67.43;49.46;94.1;69.56;46.09;96.43;73.23;52.13;97.15;77.34;59.22;97.68;77.94;59.41;97.81;78.09;59.52;98.41;78.57;59.98;99.04;79.38;60.92;99.07;79.48;60.92
SUMATERA SELATAN;89.57;64.74;45.79;92.79;67.94;49.34;95.12;72.06;51.67;96.13;75.87;57.92;96.41;76.18;58.27;96.59;76.43;58.59;97.16;76.89;59.06;97.85;76.91;59.87;97.91;77.58;59.92
BENGKULU;92.6;68.81;50.78;94.1;71.97;50.83;97.37;73.07;60.32;98.03;76.44;64.61;98.1;76.88;64.97;98.22;77.02;65.29;98.6;77.85;65.33;98.63;78.03;65.45;98.66;78.81;65.51
LAMPUNG;91.63;67.06;46.05;93.5;72.08;46.14;97.41;74.96;53.48;97.98;77.98;57.64;98.32;78.2;58.39;98.46;78.34;58.85;99.02;79.24;58.97;99.21;80.23;59.18;99.24;80.4;59.41
KEP. BANGKA BELITUNG;90.92;60.85;41.92;94.12;63.28;42.93;95.72;63.83;50.8;96.49;71.83;56.93;96.66;72.42;57.02;96.75;72.75;57.22;97.42;73.06;57.69;97.71;73.96;57.86;97.73;74.13;58.41
KEP. RIAU;92.24;74.29;56.85;94.5;78.67;63.53;97.64;83.31;67.62;98.22;83.36;70.52;98.68;83.77;71.23;98.83;84.06;71.58;98.93;84.28;71.98;99.12;84.59;72.9;99.13;85.54;72.97
DKI JAKARTA;90.26;69.66;49.91;90.48;70.31;54.25;96.07;75.46;55.4;96.84;79.61;58.79;96.91;80.2;59.04;97.01;80.35;59.3;97.64;80.72;59.54;98.03;80.81;60.01;98.12;81.68;60.24
JAWA BARAT;92.26;69.89;42.45;93.41;73.54;51.24;97.08;76.76;52.25;97.6;79.3;56.48;97.68;79.55;56.73;97.82;79.76;56.92;98.05;80.29;57.22;98.25;81.01;57.33;98.27;81.26;57.53
JAWA TENGAH;90.2;69.92;47.17;92.05;72.52;51.11;95.68;74.94;51.81;96.45;78.57;58.11;96.57;78.66;58.27;96.64;78.89;58.49;97.13;79.13;59.2;97.75;79.31;59.31;97.77;79.84;59.35
DI YOGYAKARTA;92.04;69.48;59.25;96.11;72.44;63.54;98.75;75.64;64.86;98.98;82.2;68.46;99.23;82.86;68.6;99.21;83.05;68.96;99.29;83.25;69.66;99.5;83.61;70.22;99.53;84.04;70.49
JAWA TIMUR;91.9;71.78;49.29;92.93;74.42;52.36;96.1;77.36;53.3;96.98;80.94;60;97.38;81.16;60.31;97.49;81.35;60.76;97.77;81.52;61.49;97.88;81.98;61.51;98.01;82.84;61.77
BANTEN;92.41;71.01;46.24;93.67;73.79;53;96.24;78.17;53.28;96.69;79.56;56.87;96.98;79.84;57.04;97.22;79.93;57.21;97.56;80.59;57.88;97.97;80.91;58.72;97.98;81.93;58.8
BALI;90.08;69.53;59.48;91.01;74.46;63.55;94.11;80.69;67.04;95.29;84.58;70.83;95.64;84.78;71.53;95.75;84.99;71.71;96.09;85.32;72.4;96.19;86;73;96.81;86.75;73.01
NUSA TENGGARA BARAT;92.61;76.56;53.41;93.61;77.44;53.81;96.71;80.21;58;97.62;82.29;64.11;97.8;82.83;64.97;97.9;83.17;65.19;98.13;83.57;65.67;98.86;83.88;65.77;98.87;83.92;66.04
NUSA TENGGARA TIMUR;91.97;56.51;40.33;92.16;55.83;38.19;93.53;59.32;47.3;94.56;65.86;52.15;94.95;66.32;52.51;95.24;66.56;52.87;95.4;67.16;53.32;96.12;68.14;53.67;96.16;69.19;53.68
KALIMANTAN BARAT;92.3;59.05;36.86;92.93;59.72;37.44;94.39;59.53;44.79;95.75;64.23;50.06;96.09;64.55;50.32;96.22;64.69;50.43;96.59;65.19;50.96;97.09;65.91;51.16;97.09;66.67;51.21
KALIMANTAN TENGAH;92.15;66.62;44.99;96.03;65.11;43.55;97.41;68.15;45.43;98.13;75.4;51.75;98.54;75.76;52.36;98.67;75.92;52.5;98.94;76.14;53.86;99.08;76.7;53.67;99.14;77.71;53.82
KALIMANTAN SELATAN;92.24;66.35;43.36;93.16;66.94;49.39;96.74;69.57;50.05;97.44;72.4;55.04;97.75;72.51;55.58;98.05;72.7;55.91;98.45;73.37;57.15;98.8;73.84;57.78;98.81;74.84;57.82
KALIMANTAN TIMUR;92.29;72.5;55.52;94.06;74.12;60.34;95.76;75.79;62.91;96.81;78.96;67.41;97;79.06;67.78;97.13;79.2;67.92;97.43;79.58;68.23;98.4;79.68;68.43;98.41;80.42;68.55
KALIMANTAN UTARA;-;-;-;-;-;-;-;-;-;-;-;-;91.83;77.25;62.34;92.18;77.46;62.8;92.46;77.66;63.15;92.72;78.2;64.05;93.15;78.42;64.39
SULAWESI UTARA;85.88;60.94;50.15;87.78;62.39;51.15;91.61;64.55;57.26;93.42;72.32;61.69;93.97;73.02;62.23;94.12;73.15;62.5;94.46;73.87;62.81;94.93;74.18;62.83;94.97;74.3;62.98
SULAWESI TENGAH;90.08;62.99;48.5;90.79;62.36;52.25;90.27;63.72;58.38;91.77;70.62;63.13;92.35;71.1;63.32;92.48;71.25;63.61;92.75;72.25;63.8;92.82;73.2;64.25;93.17;73.82;64.66
SULAWESI SELATAN;89.48;65.87;48.17;90.61;69.68;54.2;95.67;69.79;54.26;96.39;73.18;59.1;96.84;73.51;59.47;96.99;73.67;59.62;97.49;74.36;59.86;98.03;75.13;60.03;98.06;75.82;60.14
SULAWESI TENGGARA;88.55;64.22;51.32;92.54;68.84;50.67;95.15;69.68;55.5;95.97;74.77;61.91;96.15;75.43;62.23;96.27;75.54;62.63;96.62;76.49;62.71;97.51;76.64;62.87;97.53;76.95;62.92
GORONTALO;90.03;60.43;44.46;92;60.48;45.47;95.93;64.26;48.91;96.74;68.29;56.07;97.09;68.71;56.24;97.23;68.89;56.37;97.54;69.15;56.82;98.39;69.33;57.38;98.41;70.28;57.52
SULAWESI BARAT;89.18;62.76;48.41;91.29;61.75;44.54;93.52;62;52.22;94.97;68.37;56.65;95.29;68.92;56.78;95.41;69.1;57.08;95.51;69.4;57.46;95.83;69.43;57.58;95.86;69.36;57.64
