Provinsi;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;
;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;;Persentase Penduduk Buta Huruf (Persen);;
;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+;15+;15-44;45+
ACEH;4.37;1.29;12.55;3.96;1.03;11.74;3.34;0.67;10.49;2.58;0.43;8.31;2.37;0.27;7.73;2.26;0.22;7.32;2.06;0.13;6.82;1.97;0.13;6.35;1.79;0.06;5.74
SUMATERA UTARA;3.22;1.64;6.8;2.69;1.1;6.3;2.19;0.9;5.09;1.43;0.66;3.19;1.32;0.51;3.08;1.12;0.37;2.71;1.11;0.38;2.64;0.93;0.26;2.3;0.85;0.18;2.19
SUMATERA BARAT;3.88;1.26;8.79;3.38;1.05;7.8;2.62;0.64;6.4;1.56;0.43;3.72;1.44;0.32;3.52;1.19;0.17;3.06;1.15;0.19;2.87;0.93;0.17;2.3;0.83;0.1;2.1
RIAU;2.6;1.05;7.24;2.35;0.87;6.75;2.12;0.67;6.49;1.25;0.48;3.59;1.13;0.33;3.42;0.93;0.2;2.9;0.83;0.15;2.62;0.8;0.1;2.52;0.79;0.1;2.46
JAMBI;4.63;1.43;12.61;4.21;1.33;11.32;3.28;0.89;9.29;2.23;0.57;6.34;2.16;0.49;6.06;1.99;0.35;5.66;1.91;0.29;5.49;1.85;0.29;5.18;1.8;0.23;5.04
SUMATERA SELATAN;3.48;1.17;8.96;3.2;0.91;8.63;2.76;0.72;7.68;1.86;0.52;5.06;1.78;0.48;4.73;1.54;0.35;4.18;1.46;0.25;4.04;1.34;0.22;3.65;1.24;0.2;3.31
BENGKULU;4.98;1.31;13.77;4.44;1.09;12.66;3.52;0.68;10.42;2.48;0.54;7.2;2.37;0.48;6.77;2.25;0.36;6.55;2.1;0.27;6.19;2.09;0.18;6.02;1.99;0.17;5.76
LAMPUNG;5.2;1.12;13.87;5.11;1.01;13.82;4.19;0.7;11.77;3.46;0.42;9.91;3.33;0.34;9.52;3.22;0.21;9.23;3.11;0.16;8.81;3.07;0.14;8.47;2.89;0.12;7.87
KEP. BANGKA BELITUNG;4.54;2.13;10.43;4.3;1.59;10.74;3.59;1.24;9.26;2.4;0.91;5.94;2.37;0.87;5.86;2.34;0.81;5.67;2.21;0.7;5.53;2.24;0.84;5.22;1.91;0.6;4.63
KEP. RIAU;2.69;1.17;8.51;2.4;0.77;8.4;2.09;0.62;7.56;1.29;0.38;4.62;1.21;0.29;4.42;1.16;0.28;4.1;1.17;0.29;3.88;1.13;0.15;3.88;1;0.12;3.36
DKI JAKARTA;1.19;0.42;3.2;1;0.2;3.08;0.86;0.14;2.71;0.46;0.08;1.44;0.41;0.06;1.26;0.36;0.08;0.99;0.33;0.06;0.92;0.28;0.07;0.73;0.26;0.05;0.71
JAWA BARAT;4.39;0.99;11.7;4.05;0.93;10.79;3.3;0.63;9.08;2.04;0.41;5.56;1.99;0.29;5.45;1.78;0.23;4.9;1.77;0.26;4.71;1.52;0.26;3.9;1.47;0.21;3.79
JAWA TENGAH;10.25;1.56;23.41;10.07;1.47;23.03;8.73;1.08;20.45;7.02;0.65;16.68;6.88;0.5;16.1;6.7;0.36;15.75;6.61;0.36;15.38;6.55;0.34;15.13;6.46;0.26;14.76
DI YOGYAKARTA;8.96;0.63;21.06;8;0.34;19.17;7.18;0.2;17.53;5.56;0.09;13.71;5.5;0.19;12.8;5.41;0.13;12.63;5.36;0.2;12.38;5.17;0.09;12.06;5.04;0.05;11.56
JAWA TIMUR;12.2;2.59;26.86;11.18;2.24;25.12;9.86;1.84;22.22;8.64;1.43;19.66;8.53;1.24;19.24;8.41;1.09;18.84;8.18;1.01;18.27;8.15;1.04;17.97;7.68;0.93;16.72
BANTEN;4.16;1.14;12.7;3.72;0.94;11.55;3.36;0.65;11;2.76;0.48;9.21;2.63;0.33;8.69;2.45;0.19;8.3;2.43;0.21;7.97;2.38;0.13;7.68;2.38;0.12;7.55
BALI;11.31;3.06;25.84;10.08;2.1;24.14;9.16;1.44;22.88;7.44;1.06;18.72;7.23;0.61;18.31;7.18;0.51;18;7.1;0.4;17.58;7.02;0.22;17.44;5.47;0.17;13.35
NUSA TENGGARA BARAT;17.35;5.83;42.55;17.08;5.73;42.17;15.33;4.86;38.58;13.04;3.54;34.32;13.03;3.31;33.78;12.94;3.26;33.47;12.86;3.2;32.92;12.58;2.72;32.72;12.41;2.46;32.07
NUSA TENGGARA TIMUR;12.15;5.67;25.56;11.23;5.4;23.38;9.64;4.18;20.91;8.82;3.48;19.87;8.55;3.1;19.47;8.48;3.06;19.42;8.32;3.08;18.92;8.1;3.03;18.44;6.76;2.51;15.26
KALIMANTAN BARAT;10.36;4.23;25.24;9.28;3.11;24.33;8.66;2.64;23.16;7.7;2.06;21.18;7.68;2;20.78;7.61;1.88;20.43;7.52;1.76;20.2;7.42;1.63;19.7;6.79;1.46;17.8
