Data Guru Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prov. Jawa Barat;373.656;148.492;225.164;198.914;67.764;131.15;84.828;37.128;47.7;35.372;16.137;19.235;50.392;26.2;24.192;4.15;1.263;2.887
2;Prov. Jawa Timur;341.894;141.4;200.494;185.427;68.629;116.798;78.165;34.814;43.351;32.222;15.237;16.985;42.704;21.826;20.878;3.376;894;2.482
3;Prov. Jawa Tengah;303.538;121.66;181.878;164.244;57.051;107.193;69.049;29.842;39.207;24.249;11.326;12.923;43.304;22.623;20.681;2.692;818;1.874
4;Prov. Sumatera Utara;181.829;51.318;130.511;100.069;22.182;77.887;41.113;13.305;27.808;21.55;7.728;13.822;18.447;7.978;10.469;650;125;525
5;Prov. Sulawesi Selatan;119.385;36.405;82.98;65.347;16.505;48.842;28.419;9.755;18.664;14.442;5.637;8.805;10.041;4.229;5.812;1.136;279;857
6;Prov. Sumatera Selatan;100.469;29.864;70.605;54.5;14.91;39.59;24.226;7.372;16.854;13.998;4.655;9.343;7.288;2.822;4.466;457;105;352
7;Prov. Banten;96.045;37.305;58.74;53.35;17.692;35.658;20.382;9.063;11.319;9.857;4.579;5.278;11.433;5.689;5.744;1.023;282;741
8;Prov. Lampung;94.101;32.217;61.884;52.015;15.493;36.522;21.51;8.043;13.467;10.583;4.03;6.553;9.582;4.512;5.07;411;139;272
9;Prov. Nusa Tenggara Timur;93.541;37.279;56.262;48.883;17.004;31.879;24.056;10.491;13.565;13.222;6.206;7.016;6.763;3.382;3.381;617;196;421
10;Prov. Aceh;89.176;22.553;66.623;45.067;10.047;35.02;21.787;5.548;16.239;14.87;4.293;10.577;6.581;2.46;4.121;871;205;666
11;Prov. Riau;84.135;23.012;61.123;47.322;11.67;35.652;18.353;5.185;13.168;10.631;3.249;7.382;7.321;2.789;4.532;508;119;389
12;Prov. D.K.I. Jakarta;81.072;28.51;52.562;38.652;10.749;27.903;19.044;7.555;11.489;11.317;4.776;6.541;10.951;5.133;5.818;1.108;297;811
13;Prov. Sumatera Barat;78.863;18.158;60.705;41.096;8.178;32.918;17.609;4.271;13.338;11.339;2.902;8.437;7.528;2.608;4.92;1.291;199;1.092
14;Prov. Nusa Tenggara Barat;69.281;30.383;38.898;36.254;14.495;21.759;17.237;7.889;9.348;8.665;4.292;4.373;6.499;3.483;3.016;626;224;402
15;Prov. Kalimantan Barat;60.883;24.042;36.841;35.571;13.1;22.471;14.306;5.906;8.4;6.929;3.044;3.885;3.847;1.927;1.92;230;65;165
16;Prov. Bali;47.407;20.917;26.49;24.285;9.517;14.768;11.658;5.528;6.13;5.438;2.892;2.546;5.677;2.841;2.836;349;139;210
17;Prov. Kalimantan Selatan;45.653;16.24;29.413;27.795;9.43;18.365;8.922;3.2;5.722;4.582;1.817;2.765;3.785;1.62;2.165;569;173;396
18;Prov. Jambi;45.406;15.225;30.181;25.131;7.631;17.5;10.275;3.718;6.557;5.551;2.016;3.535;4.091;1.762;2.329;358;98;260
19;Prov. Kalimantan Timur;42.956;15.467;27.489;23.743;7.44;16.303;9.682;3.895;5.787;4.408;1.845;2.563;4.762;2.197;2.565;361;90;271
20;Prov. Sulawesi Tengah;42.932;14.734;28.198;24.398;7.337;17.061;9.834;3.662;6.172;4.819;2.086;2.733;3.635;1.583;2.052;246;66;180
21;Prov. Sulawesi Tenggara;42.58;14.854;27.726;21.685;6.24;15.445;10.617;4.168;6.449;6.58;2.937;3.643;3.197;1.383;1.814;501;126;375
22;Prov. D.I. Yogyakarta;39.816;15.076;24.74;18.691;5.885;12.806;8.756;3.627;5.129;4.258;1.882;2.376;6.871;3.31;3.561;1.24;372;868
23;Prov. Kalimantan Tengah;38.631;13.457;25.174;22.733;7.466;15.267;8.631;3.181;5.45;4.375;1.657;2.718;2.64;1.086;1.554;252;67;185
24;Prov. Sulawesi Utara;33.703;8.897;24.805;16.461;2.982;13.479;8.305;2.441;5.864;4.574;1.658;2.915;4.099;1.756;2.343;264;60;204
25;Prov. Maluku;31.34;9.222;22.118;15.537;4.154;11.383;7.761;2.363;5.398;5.611;1.807;3.804;2.285;867;1.418;146;31;115
26;Prov. Papua;30.853;13.635;17.218;16.076;7.199;8.877;7.641;3.365;4.276;4.21;1.756;2.454;2.817;1.279;1.538;109;36;73
27;Prov. Bengkulu;27.538;9.141;18.397;14.157;4.345;9.812;6.766;2.303;4.463;3.85;1.423;2.427;2.506;1.007;1.499;259;63;196
28;Prov. Kepulauan Riau;23.066;7.497;15.569;12.699;3.767;8.932;4.991;1.657;3.334;2.923;1.047;1.876;2.242;987;1.255;211;39;172
29;Prov. Sulawesi Barat;21.041;7.806;13.235;11.946;3.913;8.033;4.666;1.943;2.723;2.013;857;1.156;2.171;1.017;1.154;245;76;169
30;Prov. Maluku Utara;18.914;6.561;12.353;9.28;2.624;6.656;4.878;1.915;2.963;2.878;1.207;1.671;1.639;755;884;239;60;179
31;Prov. Gorontalo;14.801;3.851;10.95;7.457;1.52;5.937;3.72;1.027;2.693;1.731;590;1.141;1.695;659;1.036;198;55;143
32;Prov. Kepulauan Bangka Belitung;14.541;5.173;9.368;8.182;2.56;5.622;3.146;1.187;1.959;1.535;641;894;1.529;741;788;149;44;105
33;Prov. Papua Barat;13.888;5.116;8.772;7.016;2.411;4.605;3.52;1.37;2.15;2.152;836;1.316;1.169;493;676;31;6;25
34;Prov. Kalimantan Utara;9.682;4.099;5.583;5.394;2.133;3.261;2.353;1.067;1.286;1.15;511;639;744;374;370;41;14;27
35;Luar Negeri;809;382;427;353;135;218;321;172;149;134;74;60;1;1;0;0;0;0
Total;Total;2.753.425;989.948;1.763.476;1.479.730;464.158;1.015.572;636.527;247.956;388.571;312.018;127.63;184.387;300.236;143.379;156.857;24.914;6.825;18.089
