Luas Daerah dan Jumlah Pulau Menurut Provinsi, 2002-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provinsi;Tahun;2000;;2002;;2003;;2004;;2005;;2006;;2007;;2009;;;2010;;;2012;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;
;Ibu Kota Provinsi;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;
Aceh;Banda Aceh;55 390.00; 2.88;51 937.00; 2.75;51 937.00; 2.75;56 500.51; 3.04;56 500.51; 3.04;56 500.51; 3.04;57 956.00; 3.03;57 956.00; 3.03; 663;57 956.00; 3.03; 663;57 956.00; 3.03; 663;;57 956.00;; 3.03; 663;;57 956.00;; 3.03; 663;;57 956.00;; 3.03; 663;;57 956.00;; 3.03; 663;
Sumatera Utara;Medan;71 680.00; 3.73;73 587.00; 3.89;73 587.00; 3.89;72 427.81; 3.89;72 427.81; 3.89;72 427.81; 3.89;72 981.23; 3.82;72 981.23; 3.82; 419;72 981.23; 3.82; 419;72 981.23; 3.82; 419;;72 981.23;; 3.82; 419;;72 981.23;; 3.82; 419;;72 981.23;; 3.82; 419;;72 981.23;; 3.81; 419;
Sumatera Barat;Padang;42 898.00; 2.23;42 899.00; 2.27;42 899.00; 2.27;42 224.65; 2.27;42 224.65; 2.27;42 224.65; 2.27;42 012.89; 2.20;42 012.89; 2.20; 391;42 012.89; 2.20; 391;42 012.89; 2.20; 391;;42 012.89;; 2.20; 391;;42 012.89;; 2.20; 391;;42 012.89;; 2.20; 391;;42 012.89;; 2.20; 391;
Riau;Pekanbaru;94 561.00; 4.92;94 560.00; 5.00;94 560.00; 5.00;87 844.23; 4.72;87 844.23; 4.72;87 844.23; 4.72;87 023.66; 4.55;87 023.66; 4.55; 139;87 023.66; 4.55; 139;87 023.66; 4.55; 139;;87 023.66;; 4.55; 139;;87 023.66;; 4.55; 139;;87 023.66;; 4.55; 139;;87 023.66;; 4.55; 139;
Kepulauan Riau;Tanjung Pinang;;;;;;;8 084.01; 0.43;8 084.01; 0.43;8 084.01; 0.43;8 201.72; 0.43;8 201.72; 0.43;2 408;8 201.72; 0.43;2 408;8 201.72; 0.43;2 408;;8 201.72;; 0.43;2 408;;8 201.72;; 0.43;2 408;;8 201.72;; 0.43;2 408;;8 201.72;; 0.43;2 408;
Jambi;Jambi;53 436.00; 2.78;53 437.00; 2.83;53 437.00; 2.83;45 348.49; 2.44;45 348.49; 2.44;45 348.49; 2.44;50 058.16; 2.62;50 058.16; 2.62; 19;50 058.16; 2.62; 19;50 058.16; 2.62; 19;;50 058.16;; 2.62; 19;;50 058.16;; 2.62; 19;;50 058.16;; 2.62; 19;;50 058.16;; 2.62; 19;
Sumatera Selatan;Palembang;109 254.00; 5.68;93 083.00; 4.92;93 083.00; 4.92;60 302.54; 3.24;60 302.54; 3.24;60 302.54; 3.24;91 592.43; 4.79;91 592.43; 4.79; 53;91 592.43; 4.79; 53;91 592.43; 4.79; 53;;91 592.43;; 4.79; 53;;91 592.43;; 4.79; 53;;91 592.43;; 4.79; 53;;91 592.43;; 4.79; 53;
Kepulauan Bangka Belitung;Pangkal Pinang;;;16 171.00; 0.86;16 171.00; 0.86;16 424.14; 0.88;16 424.14; 0.88;16 424.14; 0.88;16 424.06; 0.86;16 424.06; 0.86; 950;16 424.06; 0.86; 950;16 424.06; 0.86; 950;;16 424.06;; 0.86; 950;;16 424.06;; 0.86; 950;;16 424.06;; 0.86; 950;;16 424.06;; 0.86; 950;
Bengkulu;Bengkulu;19 789.00; 1.03;19 789.00; 1.05;19 789.00; 1.05;19 795.15; 1.06;19 795.15; 1.06;19 795.15; 1.06;19 919.33; 1.04;19 919.33; 1.04; 47;19 919.33; 1.04; 47;19 919.33; 1.04; 47;;19 919.33;; 1.04; 47;;19 919.33;; 1.04; 47;;19 919.33;; 1.04; 47;;19 919.33;; 1.04; 47;
Lampung;Bandar Lampung;35 385.00; 1.84;35 384.00; 1.87;35 384.00; 1.87;37 735.15; 2.03;37 735.15; 2.03;37 735.15; 2.03;34 623.80; 1.81;34 623.80; 1.81; 188;34 623.80; 1.81; 188;34 623.80; 1.81; 188;;34 623.80;; 1.81; 188;;34 623.80;; 1.81; 188;;34 623.80;; 1.81; 188;;34 623.80;; 1.81; 188;
DKI Jakarta;Jakarta; 664.00; 0.03; 664.00; 0.04; 664.00; 0.04; 740.29; 0.04; 740.29; 0.04; 740.29; 0.04; 664.01; 0.03; 664.01; 0.03; 218; 664.01; 0.03; 218; 664.01; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;; 664.01;; 0.03; 218;
Jawa Barat;Bandung;43 177.00; 2.25;34 597.00; 1.83;34 597.00; 1.83;36 925.05; 1.98;36 925.05; 1.98;36 925.05; 1.98;35 377.76; 1.85;35 377.76; 1.85; 131;35 377.76; 1.85; 131;35 377.76; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;;35 377.76;; 1.85; 131;
