Data Peserta Didik Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P;Jml;L;P
1;Prop. Jawa Barat;7.982.790;4.117.597;3.865.191;4.525.492;2.342.622;2.182.870;1.802.217;919.259;882.958;645.438;278.562;366.876;988.497;564.641;423.854;21.146;12.513;8.633
2;Prop. Jawa Timur;5.381.932;2.813.477;2.568.455;2.870.146;1.495.576;1.374.570;1.266.792;660.59;606.202;522.688;230.445;292.243;704.723;416.458;288.265;17.583;10.408;7.175
3;Prop. Jawa Tengah;5.250.912;2.713.409;2.537.502;2.881.945;1.505.087;1.376.858;1.207.724;614.738;592.986;393.929;149.759;244.17;751.591;434.61;316.98;15.723;9.215;6.508
4;Prop. Sumatera Utara;3.083.235;1.585.056;1.498.179;1.761.845;916.745;845.1;664.191;339.6;324.591;363.047;161.716;201.331;289.902;164.478;125.424;4.25;2.517;1.733
5;Prop. Banten;2.053.724;1.065.296;988.428;1.201.461;624.025;577.436;429.142;222.048;207.094;179.61;82.36;97.25;238.529;133.814;104.715;4.982;3.049;1.933
6;Prop. Sulawesi Selatan;1.708.561;871.735;836.826;950;495.436;454.564;391.31;195.79;195.52;234.042;103.551;130.491;128.505;74.184;54.321;4.704;2.774;1.93
7;Prop. Sumatera Selatan;1.602.512;823.654;778.858;939.711;490.377;449.334;355.444;178.923;176.521;201.5;92.456;109.044;103.647;60.515;43.132;2.21;1.383;827
8;Prop. D.K.I. Jakarta;1.577.648;804.275;773.373;823.04;426.468;396.572;368.464;186.305;182.159;167.029;78.077;88.952;213.494;110.033;103.461;5.621;3.392;2.229
9;Prop. Lampung;1.447.043;742.796;704.247;847.289;441.425;405.864;318.035;161.028;157.007;149.196;65.706;83.49;130.89;73.682;57.208;1.633;955;678
10;Prop. Nusa Tenggara Timur;1.380.728;706.64;674.088;801.562;423.067;378.495;329.81;163.439;166.371;176.831;79.693;97.138;70.027;38.997;31.03;2.498;1.444;1.054
11;Prop. Riau;1.296.123;668.527;627.596;801.014;419.119;381.895;259.681;131.817;127.864;145.972;65.127;80.845;86.823;50.821;36.002;2.633;1.643;990
12;Prop. Sumatera Barat;1.097.008;562.221;534.786;648.782;340.963;307.819;216.659;109.275;107.384;143.02;60.228;82.792;82.458;47.926;34.531;6.089;3.829;2.26
13;Prop. Kalimantan Barat;1.013.553;519.565;493.988;601.643;316.375;285.268;235.796;117.069;118.727;116.226;53.852;62.374;58.701;31.519;27.182;1.187;750;437
14;Prop. Aceh;872.272;451.835;420.437;485.312;254.258;231.054;196.245;102.613;93.632;137.383;62.847;74.536;50.512;30.425;20.087;2.82;1.692;1.128
15;Prop. Nusa Tenggara Barat;870.05;455.131;414.919;512.994;267.604;245.39;182.114;94.801;87.313;105.093;50.462;54.631;66.885;40.515;26.37;2.964;1.749;1.215
16;Prop. Bali;778.131;406.749;371.382;402.67;209.823;192.847;197.181;102.723;94.458;84.856;43.262;41.594;91.502;49.762;41.74;1.922;1.179;743
17;Prop. Kalimantan Timur;713.809;370.431;343.378;414.662;216.925;197.737;155.885;79.859;76.026;69.037;30.711;38.326;72.231;41.627;30.604;1.994;1.309;685
18;Prop. Jambi;640.33;330.797;309.533;391.353;204.344;187.009;126.83;64.738;62.092;74.456;34.46;39.996;46.158;26.305;19.853;1.533;950;583
19;Prop. Papua;638.218;351.572;286.646;427.388;233.724;193.664;122.103;67.592;54.511;58.912;31.462;27.45;29.228;18.45;10.778;587;344;243
20;Prop. Kalimantan Selatan;621.374;323.743;297.631;382.343;200.295;182.048;121.094;62.559;58.535;62.952;28.953;33.999;52.891;30.643;22.248;2.094;1.293;801
21;Prop. Sulawesi Tengah;599.459;305.735;293.724;355.699;185.873;169.826;132.019;65.491;66.528;69.301;31.882;37.419;41.138;21.666;19.472;1.302;823;479
22;Prop. Sulawesi Tenggara;582.105;298.759;283.346;331.919;173.082;158.837;128.948;65.089;63.859;87.939;41.95;45.989;30.68;17.063;13.617;2.619;1.575;1.044
23;Prop. D.I. Yogyakarta;566.459;292.249;274.21;293.091;152.498;140.593;129.314;66.425;62.889;54.156;22.587;31.569;84.921;47.741;37.18;4.977;2.998;1.979
24;Prop. Kalimantan Tengah;484.981;251.348;233.633;290.627;152.348;138.279;108.449;54.753;53.696;54.064;25.935;28.129;30.827;17.702;13.125;1.014;610;404
25;Prop. Sulawesi Utara;479.68;246.856;232.824;251.52;131.796;119.724;121.689;61.924;59.765;56.055;27.184;28.871;49.303;25.281;24.022;1.113;671;442
26;Prop. Maluku;418.43;216.809;201.621;231.835;121.904;109.931;97.177;50.078;47.099;68.555;33.355;35.2;20.021;10.942;9.079;842;530;312
27;Prop. Bengkulu;383.526;198.479;185.047;219.005;115.321;103.684;89.046;45.101;43.945;48.124;21.598;26.526;26.162;15.731;10.431;1.189;728;461
28;Prop. Kepulauan Riau;376.118;193.818;182.3;225.191;117.252;107.939;83.591;42.459;41.132;38.614;17.458;21.156;27.593;15.967;11.626;1.129;682;447
29;Prop. Sulawesi Barat;282.791;144.493;138.298;165.58;87.284;78.296;63.459;31.035;32.424;26.738;11.917;14.821;25.798;13.566;12.232;1.216;691;525
30;Prop. Maluku Utara;274.812;141.808;133.004;160.168;84.053;76.115;60.324;30.548;29.776;37.131;18.087;19.044;16.319;8.615;7.704;870;505;365
31;Prop. Bangka Belitung;266.271;136.512;129.759;158.87;83.152;75.718;59.23;29.8;29.43;24.324;10.795;13.529;22.99;12.246;10.744;857;519;338
32;Prop. Gorontalo;226.104;114.253;111.851;128.987;67.057;61.93;50.724;24.746;25.978;26.003;11.213;14.79;19.514;10.699;8.815;876;538;338
33;Prop. Papua Barat;220.566;116.113;104.453;136.016;71.62;64.396;46.348;24.046;22.302;25.556;12.716;12.84;12.464;7.622;4.842;182;109;73
34;Prop. Kalimantan Utara;135.433;69.819;65.614;79.289;41.599;37.69;31.083;15.735;15.348;16.034;7.551;8.483;8.683;4.711;3.972;344;223;121
35;Luar Negeri;11.632;5.972;5.66;7.788;4.083;3.705;3.206;1.586;1.62;638;303;335;0;0;0;0;0;0
Total;Total;45.318.320;23.417.529;21.900.787;25.706.237;13.413.180;12.293.057;10.151.324;5.183.582;4.967.742;4.664.449;2.078.220;2.586.229;4.673.607;2.668.957;2.004.646;122.703;73.59;49.113
