No.,P r o v i n s i P r o v i n c e,,Baik Good,,Rusak Ringan Minor Damage,,Rusak Sedang Middle Damage,,Rusak Berat Major Damage,,Rusak Total Totally Damage,,JumlahTotal
"",,,,,,,,,,,,,
1 Prov. D.K.I. Jakarta,,,239,,244,,7,,2,,0,,492
2 Prov. Jawa Barat,,,467,,991,,97,,56,,0,,"1,611"
3 Prov. Jawa Tengah,,,247,,573,,63,,24,,0,,907
4 Prov. D.I. Yogyakarta,,,52,,120,,6,,7,,0,,185
5 Prov. Jawa Timur,,,376,,937,,107,,73,,0,,"1,493"
6 Prov. Aceh,,,76,,341,,62,,56,,0,,535
7 Prov. Sumatera Utara,,,306,,624,,83,,41,,0,,"1,054"
8 Prov. Sumatera Barat,,,94,,209,,21,,11,,0,,335
9 Prov. Riau,,,131,,271,,28,,13,,0,,443
10 Prov. Jambi,,,35,,161,,23,,15,,0,,234
11 Prov. Sumatera Selatan,,,124,,388,,40,,22,,0,,574
12 Prov. Lampung,,,83,,293,,56,,40,,0,,472
13 Prov. Kalimantan Barat,,,91,,231,,45,,33,,0,,400
14 Prov. Kalimantan Tengah,,,46,,137,,25,,12,,0,,220
15 Prov. Kalimantan Selatan,,,75,,111,,2,,9,,0,,197
16 Prov. Kalimantan Timur,,,73,,131,,5,,5,,0,,214
17 Prov. Sulawesi Utara,,,49,,146,,14,,23,,0,,232
18 Prov. Sulawesi Tengah,,,56,,127,,24,,11,,0,,218
19 Prov. Sulawesi Selatan,,,126,,381,,47,,34,,0,,588
20 Prov. Sulawesi Tenggara,,,59,,171,,34,,30,,0,,294
21 Prov. Maluku,,,42,,151,,35,,29,,0,,257
22 Prov. Bali,,,60,,94,,3,,1,,0,,158
23 Prov. Nusa Tenggara Barat,,,47,,217,,24,,13,,0,,301
24 Prov. Nusa Tenggara Timur,,,138,,322,,54,,29,,0,,543
25 Prov. Papua,,,24,,143,,16,,7,,0,,190
26 Prov. Bengkulu,,,26,,92,,16,,12,,0,,146
27 Prov. Maluku Utara,,,23,,106,,22,,19,,0,,170
28 Prov. Banten,,,176,,313,,29,,26,,0,,544
29 Prov. Kepulauan Bangka Belitung,,,21,,42,,2,,3,,0,,68
30 Prov. Gorontalo,,,19,,44,,4,,1,,0,,68
31 Prov. Kepulauan Riau,,,63,,70,,3,,1,,0,,137
32 Prov. Papua Barat,,,21,,72,,10,,8,,0,,111
33 Prov. Sulawesi Barat,,,11,,56,,8,,6,,0,,81
34 Prov. Kalimantan Utara,,,12,,32,,5,,4,,0,,53
"",,,,,,,,,,,,,
Indonesia,,,"3,488",,"8,341",,"1,020",,676,,0,,"13,525"
