No.,P r o v i n s i P r o v i n c e,,Cukup Sufficient,,Kurang Not Sufficient,,Tidak Ada No Water,,JumlahTotal
"",,,,,,,,,
1 Prov. D.K.I. Jakarta,,,483,,21,,0,,504
2 Prov. Jawa Barat,,,"1,557",,100,,0,,"1,657"
3 Prov. Jawa Tengah,,,839,,28,,0,,867
4 Prov. D.I. Yogyakarta,,,158,,5,,0,,163
5 Prov. Jawa Timur,,,"1,434",,101,,0,,"1,535"
6 Prov. Aceh,,,450,,77,,0,,527
7 Prov. Sumatera Utara,,,961,,123,,0,,"1,084"
8 Prov. Sumatera Barat,,,287,,42,,0,,329
9 Prov. Riau,,,390,,59,,0,,449
10 Prov. Jambi,,,209,,26,,0,,235
11 Prov. Sumatera Selatan,,,544,,50,,0,,594
12 Prov. Lampung,,,475,,28,,0,,503
13 Prov. Kalimantan Barat,,,339,,100,,0,,439
14 Prov. Kalimantan Tengah,,,191,,49,,0,,240
15 Prov. Kalimantan Selatan,,,177,,18,,0,,195
16 Prov. Kalimantan Timur,,,191,,35,,0,,226
17 Prov. Sulawesi Utara,,,205,,19,,0,,224
18 Prov. Sulawesi Tengah,,,195,,28,,0,,223
19 Prov. Sulawesi Selatan,,,527,,51,,0,,578
20 Prov. Sulawesi Tenggara,,,249,,46,,0,,295
21 Prov. Maluku,,,215,,66,,0,,281
22 Prov. Bali,,,147,,13,,0,,160
23 Prov. Nusa Tenggara Barat,,,294,,38,,0,,332
24 Prov. Nusa Tenggara Timur,,,339,,212,,0,,551
25 Prov. Papua,,,157,,78,,0,,235
26 Prov. Bengkulu,,,133,,10,,0,,143
27 Prov. Maluku Utara,,,159,,49,,0,,208
28 Prov. Banten,,,540,,29,,0,,569
29 Prov. Kepulauan Bangka Belitung,,,63,,7,,0,,70
30 Prov. Gorontalo,,,59,,7,,0,,66
31 Prov. Kepulauan Riau,,,126,,21,,0,,147
32 Prov. Papua Barat,,,86,,36,,0,,122
33 Prov. Sulawesi Barat,,,76,,12,,0,,88
34 Prov. Kalimantan Utara,,,46,,15,,0,,61
"",,,,,,,,,
Indonesia,,,"12,301",,"1,599",,0,,"13,900"
