No.,P r o v i n s i P r o v i n c e,,Baik Good,,Rusak Ringan Minor Damage,,Rusak Sedang Middle Damage,,Rusak Berat Major Damage,,Rusak Total Totally Damage,,JumlahTotal
"",,,,,,,,,,,,,
1 Prov. D.K.I. Jakarta,,,220,,200,,3,,0,,0,,423
2 Prov. Jawa Barat,,,323,,634,,54,,20,,0,,"1,031"
3 Prov. Jawa Tengah,,,223,,503,,34,,24,,0,,784
4 Prov. D.I. Yogyakarta,,,44,,113,,7,,3,,0,,167
5 Prov. Jawa Timur,,,280,,656,,57,,40,,0,,"1,033"
6 Prov. Aceh,,,32,,143,,15,,15,,0,,205
7 Prov. Sumatera Utara,,,185,,281,,22,,7,,0,,495
8 Prov. Sumatera Barat,,,62,,132,,15,,6,,0,,215
9 Prov. Riau,,,79,,142,,9,,6,,0,,236
10 Prov. Jambi,,,27,,101,,8,,6,,0,,142
11 Prov. Sumatera Selatan,,,100,,247,,20,,11,,0,,378
12 Prov. Lampung,,,62,,165,,28,,24,,0,,279
13 Prov. Kalimantan Barat,,,66,,152,,22,,16,,0,,256
14 Prov. Kalimantan Tengah,,,34,,73,,14,,4,,0,,125
15 Prov. Kalimantan Selatan,,,49,,70,,0,,2,,0,,121
16 Prov. Kalimantan Timur,,,49,,98,,2,,2,,0,,151
17 Prov. Sulawesi Utara,,,31,,77,,7,,2,,0,,117
18 Prov. Sulawesi Tengah,,,22,,45,,8,,4,,0,,79
19 Prov. Sulawesi Selatan,,,72,,186,,21,,8,,0,,287
20 Prov. Sulawesi Tenggara,,,26,,64,,10,,7,,0,,107
21 Prov. Maluku,,,16,,49,,12,,5,,0,,82
22 Prov. Bali,,,51,,64,,3,,2,,0,,120
23 Prov. Nusa Tenggara Barat,,,21,,90,,10,,7,,0,,128
24 Prov. Nusa Tenggara Timur,,,47,,109,,19,,11,,0,,186
25 Prov. Papua,,,6,,48,,3,,2,,0,,59
26 Prov. Bengkulu,,,12,,73,,7,,7,,0,,99
27 Prov. Maluku Utara,,,8,,17,,3,,1,,0,,29
28 Prov. Banten,,,116,,173,,11,,8,,0,,308
29 Prov. Kepulauan Bangka Belitung,,,16,,30,,3,,1,,0,,50
30 Prov. Gorontalo,,,11,,20,,3,,1,,0,,35
31 Prov. Kepulauan Riau,,,34,,37,,7,,0,,0,,78
32 Prov. Papua Barat,,,6,,23,,2,,1,,0,,32
33 Prov. Sulawesi Barat,,,4,,18,,4,,3,,0,,29
34 Prov. Kalimantan Utara,,,10,,15,,1,,3,,0,,29
"",,,,,,,,,,,,,
Indonesia,,,"2,344",,"4,848",,444,,259,,0,,"7,895"
