Data Sekolah Nasional - Dapodikdasmen;;;;;;;;;;;;;;;;;;;
No;Wilayah;Total;;;SD;;;SMP;;;SMA;;;SMK;;;SLB;;
;;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S;Jml;N;S
1;Prop. Jawa Barat;29.726;20.929;8.797;19.908;18.156;1.752;5.024;1.969;3.055;1.575;485;1.09;2.835;280;2.555;384;39;345
2;Prop. Jawa Timur;27.888;20.215;7.673;19.396;17.709;1.687;4.567;1.724;2.843;1.519;421;1.098;1.955;292;1.663;451;69;382
3;Prop. Jawa Tengah;24.985;20.411;4.574;19.09;17.998;1.092;3.279;1.771;1.508;866;364;502;1.566;236;1.33;184;42;142
4;Prop. Sumatera Utara;14.247;10.33;3.917;9.637;8.313;1.324;2.508;1.302;1.206;1.067;423;644;986;266;720;49;26;23
5;Prop. Sulawesi Selatan;9.153;7.908;1.245;6.41;6.143;267;1.636;1.243;393;578;331;247;443;167;276;86;24;62
6;Prop. Nusa Tenggara Timur;7.476;4.971;2.505;5.03;3.251;1.779;1.611;1.214;397;512;326;186;277;147;130;46;33;13
7;Prop. Banten;7.254;4.719;2.535;4.561;3.954;607;1.407;535;872;530;148;382;664;75;589;92;7;85
8;Prop. Lampung;6.945;5.384;1.561;4.652;4.364;288;1.333;683;650;483;227;256;451;101;350;26;9;17
9;Prop. Sumatera Selatan;6.892;5.641;1.251;4.672;4.324;348;1.298;868;430;596;323;273;292;113;179;34;13;21
10;Prop. Kalimantan Barat;6.269;5.45;819;4.366;4.122;244;1.276;966;310;411;249;162;195;100;95;21;13;8
11;Prop. Sumatera Barat;5.608;4.994;614;4.151;3.965;186;785;661;124;320;228;92;210;110;100;142;30;112
12;Prop. Riau;5.519;4.413;1.106;3.631;3.183;448;1.125;812;313;432;287;145;290;116;174;41;15;26
13;Prop. Aceh;5.316;4.753;563;3.438;3.317;121;1.093;878;215;517;393;124;203;142;61;65;23;42
14;Prop. D.K.I. Jakarta;4.823;2.066;2.757;2.522;1.586;936;1.117;292;825;500;117;383;593;63;530;91;8;83
15;Prop. Nusa Tenggara Barat;4.699;3.867;832;3.168;3.006;162;876;602;274;314;153;161;299;89;210;42;17;25
16;Prop. Sulawesi Tengah;4.114;3.645;469;2.883;2.657;226;823;711;112;208;163;45;178;98;80;22;16;6
17;Prop. Kalimantan Selatan;3.855;3.508;347;2.913;2.781;132;594;516;78;187;133;54;123;61;62;38;17;21
18;Prop. Kalimantan Tengah;3.824;3.388;436;2.622;2.426;196;809;676;133;238;176;62;133;91;42;22;19;3
19;Prop. Sulawesi Tenggara;3.555;3.271;284;2.304;2.25;54;742;677;65;288;232;56;158;98;60;63;14;49
20;Prop. Jambi;3.519;3.146;373;2.45;2.331;119;654;551;103;223;153;70;173;98;75;19;13;6
21;Prop. Papua;3.512;2.27;1.242;2.505;1.586;919;640;469;171;227;134;93;128;73;55;12;8;4
22;Prop. Sulawesi Utara;3.365;2.042;1.323;2.222;1.369;853;711;465;246;223;116;107;185;86;99;24;6;18
23;Prop. Bali;3.21;2.722;488;2.447;2.326;121;405;254;151;163;78;85;179;51;128;16;13;3
24;Prop. Kalimantan Timur;2.939;2.305;634;1.854;1.651;203;618;425;193;216;135;81;220;85;135;31;9;22
25;Prop. Maluku;2.801;2.011;790;1.771;1.232;539;630;489;141;274;203;71;113;79;34;13;8;5
26;Prop. D.I. Yogyakarta;2.74;1.784;956;1.844;1.442;402;434;214;220;164;69;95;219;50;169;79;9;70
27;Prop. Maluku Utara;2.091;1.638;453;1.305;1.1;205;466;339;127;185;126;59;117;60;57;18;13;5
28;Prop. Bengkulu;2.028;1.862;166;1.368;1.307;61;418;377;41;135;104;31;92;62;30;15;12;3
29;Prop. Sulawesi Barat;1.913;1.741;172;1.321;1.299;22;352;301;51;86;73;13;131;57;74;23;11;12
30;Prop. Kepulauan Riau;1.487;1.018;469;914;684;230;339;220;119;123;80;43;96;29;67;15;5;10
31;Prop. Papua Barat;1.482;941;541;1.018;622;396;287;211;76;120;73;47;52;31;21;5;4;1
32;Prop. Gorontalo;1.382;1.325;57;930;910;20;326;312;14;62;55;7;56;40;16;8;8;0
33;Prop. Bangka Belitung;1.144;998;146;806;755;51;208;159;49;67;43;24;54;34;20;9;7;2
34;Prop. Kalimantan Utara;720;633;87;462;428;34;166;141;25;59;42;17;29;18;11;4;4;0
35;Luar Negeri;155;40;115;86;30;56;56;8;48;13;2;11;0;0;0;0;0;0
Total;Total;216.636;166.339;50.297;148.657;132.577;16.08;38.613;23.035;15.578;13.481;6.665;6.816;13.695;3.498;10.197;2.19;564;1.626
