CAPAIAN NILAI UJIAN NASIONAL;;;;;;;;;;;;
TAHUN PELAJARAN 2018/2019;;;;;;;;;;;;
;;;;;;;;;;;;
NO;KODE;NAMA PROVINSI;JUMLAH SATUAN PENDIDIKAN;JUMLAH PESERTA;RERATA NILAI PADA MATA UJI;;;;;;RERATA NILAI;
;;;;;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;;
1; 01;DKI JAKARTA;484;30992;80.17;73.97;52.45;60.3;61.83;61.07;66.9;
2; 02;JAWA BARAT;1770;146667;70.88;55.23;38.65;44.74;50.32;50.24;53.54;
3; 03;JAWA TENGAH;1066;92861;77.91;58.65;44.65;51.76;56.54;57.03;59.32;
4; 04;DI YOGYAKARTA;173;12814;82.06;67.97;50.86;55.37;60.27;62.6;65.35;
5; 05;JAWA TIMUR;1689;129145;73.26;56.54;41.92;48.03;53.89;54.52;56.28;
6; 06;ACEH;702;38165;56.25;41.72;32.36;37.66;41.69;42.34;43.03;
7; 07;SUMATERA UTARA;1192;82460;61.85;47.85;36.4;41.62;47.27;46.02;47.93;
8; 08;SUMATERA BARAT;370;27451;72.85;52.82;41.1;47.24;52.57;52.3;54.61;
9; 09;RIAU;458;27316;68.71;50.47;37.24;42.83;48.27;49.04;51.15;
10; 10;JAMBI;231;14247;66.22;48.27;36.05;41.88;46.71;47.72;49.34;
11; 11;SUMATERA SELATAN;557;37479;63.75;46.92;35.33;40.56;46.11;46.87;48.02;
12; 12;LAMPUNG;426;28796;68.78;48.58;36.18;42;47.23;48.6;50.32;
13; 13;KALIMANTAN BARAT;341;16078;70.06;50.59;36.54;43.41;48.78;48.94;51.36;
14; 14;KALIMANTAN TENGAH;211;9716;67.38;48.07;33.88;39.24;44.53;47.1;48.8;
15; 15;KALIMANTAN SELATAN;244;13262;74.47;52.17;37.32;43.54;48.86;52.36;53.65;
16; 16;KALIMANTAN TIMUR;202;13345;74.24;55.83;38.26;46.07;47.87;51.8;54.57;
17; 17;SULAWESI UTARA;220;10460;62.49;49.39;33.03;38.7;40.7;44.76;47.03;
18; 18;SULAWESI TENGAH;242;13251;62.96;43.86;32.54;38.79;43.23;45.26;45.93;
19; 19;SULAWESI SELATAN;709;52207;62.34;44.54;33.88;39.34;43.86;44.82;46.21;
20; 20;SULAWESI TENGGARA;325;16668;63.91;44.92;34.48;42.92;45.87;46.43;47.28;
21; 21;MALUKU;305;12154;55.87;42.25;33.22;38.97;39.94;45.83;43.82;
22; 22;BALI;141;16153;74.85;59.55;41.08;47.87;55.78;55.67;57.59;
23; 23;NUSA TENGGARA BARAT;387;21087;62.96;44.83;33.22;40.94;44.14;44.39;46.22;
24; 24;NUSA TENGGARA TIMUR;532;21497;62.05;42.51;31.68;37.63;40.79;44.46;44.7;
25; 25;PAPUA;206;9491;57.64;44.6;33.23;40.49;41.13;43.4;44.52;
26; 26;BENGKULU;143;9060;68.09;47.93;37.05;42.15;46.84;49.57;50.38;
27; 27;MALUKU UTARA;174;6817;52.12;41.98;33.52;38.99;41.41;45.66;43.01;
28; 28;BANGKA BELITUNG;71;4250;74.37;53.4;39.9;46.59;49.35;51.72;54.55;
29; 29;GORONTALO;87;5087;64.55;44.66;33.31;40.77;42.54;45.82;46.81;
30; 30;BANTEN;524;36225;68.9;55.49;39.28;47.55;50.73;49.47;53.25;
31; 31;KEPULAUAN RIAU;121;6345;74.41;60.53;42.25;48.44;54.4;52.69;57.34;
32; 32;SULAWESI BARAT;92;4851;61.85;41.61;31.61;38.2;40.5;43.16;44.37;
33; 33;PAPUA BARAT;115;4358;61.24;46.83;37.49;43.9;48.24;47.59;48.17;
34; 34;KALIMANTAN UTARA;54;2531;70.31;49.64;34.3;38.6;44.33;48.74;50.22;
;99;NASIONAL;14564;973286;68.89;52.37;38.6;45.79;50.29;49.91;52.3;
