Indikator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011***);2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTISIPASI PENDIDIKAN FORMAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 7-12 th; 94.06 ; 93.94 ; 94.43 ; 95.37 ; 95.06 ; 95.34 ; 95.50 ; 95.61 ; 96.10 ; 96.42 ; 96.77 ; 97.14 ; 97.39 ; 97.60 ; 97.83 ; 97.95 ; 97.97 ; 97.53 ; 97.94 ; 98.34 ; 98.83 ; 98.57 ; 98.98 ; 99.08 ; 99.11 ;99.17;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 13-15 th; 72.39 ; 73.20 ; 75.84 ; 77.51 ; 77.16 ; 79.04 ; 79.58 ; 79.35 ; 79.21 ; 81.01 ; 83.49 ; 84.02 ; 84.08 ; 84.26 ; 84.41 ; 85.43 ; 86.11 ; 87.79 ; 89.61 ; 90.62 ; 94.32 ; 94.25 ; 94.79 ; 94.98 ; 95.23 ;95.43;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 16-18 th; 45.31 ; 44.65 ; 47.59 ; 48.64 ; 49.28 ; 51.14 ; 51.17 ; 49.18 ; 49.76 ; 50.97 ; 53.48 ; 53.86 ; 53.92 ; 54.61 ; 54.70 ; 55.05 ; 55.83 ; 57.69 ; 61.30 ; 63.64 ; 70.13 ; 70.26 ; 70.68 ; 71.20 ; 71.82 ;71.92;;;;;;;;;;;
Angka Partisipasi Sekolah (APS) 19-24 th; 12.80 ; 11.53 ; 11.96 ; 11.64 ; 12.10 ; 12.70 ; 12.31 ; 11.81 ; 11.62 ; 11.71 ; 12.07 ; 12.23 ; 11.38 ; 12.20 ; 12.43 ; 12.66 ; 13.67 ; 14.47 ; 15.94 ; 20.04 ; 22.74 ; 22.77 ; 23.80 ; 24.67 ; 24.29 ;23.28;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SD/MI; 107.13 ; 107.00 ; 107.19 ; 108.04 ; 107.60 ; 108.10 ; 107.68 ; 107.21 ; 105.99 ; 105.82 ; 107.13 ; 106.63 ; 109.96 ; 110.35 ; 109.41 ; 110.35 ; 111.63 ; 102.42 ; 104.23 ; 107.63 ; 108.78 ; 109.94 ; 109.20 ; 108.43 ; 108.48 ;107.36;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SMP/MTs; 64.36 ; 65.65 ; 70.46 ; 74.18 ; 73.14 ; 76.08 ; 77.62 ; 78.10 ; 79.81 ; 81.09 ; 82.24 ; 82.09 ; 81.87 ; 82.03 ; 81.38 ; 81.09 ; 80.35 ; 89.37 ; 89.29 ; 85.69 ; 88.43 ; 90.63 ; 89.98 ; 90.00 ; 91.23 ;90.20;;;;;;;;;;;
Angka Partisipasi Kasar (APK) SM/MA; 43.04 ; 42.43 ; 44.87 ; 46.57 ; 47.17 ; 48.37 ; 50.22 ; 46.47 ; 48.00 ; 50.89 ; 54.38 ; 55.21 ; 56.69 ; 56.71 ; 57.42 ; 62.37 ; 62.53 ; 64.10 ; 68.45 ; 66.27 ; 73.95 ; 77.39 ; 80.44 ; 82.25 ; 80.11 ;79.94;;;;;;;;;;;
Angka Partisipasi Kasar (APK) PT; 10.14 ; 9.55 ; 10.37 ; 9.69 ; 10.64 ; 10.67 ; 10.26 ; 10.36 ; 10.54 ; 10.84 ; 10.73 ; 11.06 ; 12.16 ; 13.31 ; 14.42 ; 14.59 ; 16.35 ; 18.06 ; 18.85 ; 23.06 ; 25.76 ; 20.89 ; 23.44 ; 25.00 ; 25.12 ;25.13;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angka Partisipasi Murni (APM) SD/MI; 92.11 ; 91.45 ; 91.46 ; 92.34 ; 92.09 ; 92.70 ; 92.28 ; 92.88 ; 92.70 ; 92.55 ; 93.04 ; 93.25 ; 93.54 ; 93.75 ; 93.99 ; 94.37 ; 94.72 ; 90.98 ; 92.47 ; 95.52 ; 96.37 ; 96.20 ; 96.71 ; 97.14 ; 97.48 ;97.58;;;;;;;;;;;
Angka Partisipasi Murni (APM) SMP/MTs; 50.03 ; 50.96 ; 54.53 ; 57.84 ; 56.96 ; 59.23 ; 60.27 ; 60.47 ; 61.64 ; 63.49 ; 65.24 ; 65.37 ; 66.52 ; 66.64 ; 66.98 ; 67.40 ; 67.62 ; 68.22 ; 70.82 ; 73.73 ; 77.43 ; 77.45 ; 77.89 ; 78.30 ; 78.75 ;79.35;;;;;;;;;;;
Angka Partisipasi Murni (APM) SM/MA; 33.22 ; 32.60 ; 34.80 ; 36.61 ; 37.23 ; 38.49 ; 39.33 ; 37.13 ; 38.11 ; 40.56 ; 42.96 ; 43.50 ; 43.77 ; 44.56 ; 44.75 ; 45.06 ; 45.48 ; 47.93 ; 51.77 ; 54.12 ; 59.24 ; 59.46 ; 59.85 ; 60.19 ; 60.53 ;60.70;;;;;;;;;;;
Angka Partisipasi Murni (APM) PT; 7.92 ; 7.15 ; 7.68 ; 7.68 ; 8.04 ; 8.23 ; 7.95 ; 7.99 ; 8.09 ; 8.55 ; 8.57 ; 8.71 ; 8.87 ; 9.64 ; 10.07 ; 10.30 ; 11.01 ; 12.56 ; 13.48 ; 18.08 ; 20.18 ; 17.34 ; 17.91 ; 18.62 ; 18.59 ;18.85;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
