tahun,indikator,satuan,jumlah
2008,Anggota(Pelajar/Mahasiswa/PNS/Swasta),Orang,105481
2008,Pengunjung(Pelajar/Mahasiswa/PNS/Swasta),Orang,572877
2008,Koleksi Buku,Eks,381345
2008,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem,2
2008,Perpustakaan Berstandar Internasional,Gedung,0
2008,Perpustakaan Berbasis Teknologi Informasi,Perpustakaan,7
2008,Komunitas Perpustakaan,Organisasi,3
2008,Taman Bacaan Masyarakat,Sanggar,135
2008,Pengguna Jasa Perpustakaan Keliling,Orang,151236
2009,Anggota(Pelajar/Mahasiswa/PNS/Swasta),Orang,109925
2009,Pengunjung (Pelajar/Mahasiswa/PNS/Swasta),Orang,449125
2009,Koleksi Buku,Eks,403643
2009,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem,2
2009,Perpustakaan Berstandar Internasional,Gedung,1
2009,Perpustakaan Berbasis Teknologi Informasi,Perpustakaan,7
2009,Komunitas Perpustakaan,Organisasi,3
2009,Taman Bacaan Masyarakat,Sanggar,140
2009,Pengguna Jasa Perpustakaan Keliling,Orang,196657
2010,Anggota(Pelajar/Mahasiswa/PNS/Swasta),Orang,114943
2010,Pengunjung(Pelajar/Mahasiswa/PNS/Swasta),Orang,451475
2010,Koleksi Buku,Eks,431140
2010,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem,2
2010,Perpustakaan Berstandar Internasional,Gedung,1
2010,Perpustakaan Berbasis Teknologi Informasi,Perpustakaan,7
2010,Komunitas Perpustakaan,Organisasi,3
2010,Taman Bacaan Masyarakat,Sanggar,140
2010,Pengguna Jasa Perpustakaan Keliling,Orang,200590
2011,Anggota(Pelajar/Mahasiswa/PNS/Swasta),Orang,120436
2011,Pengunjung(Pelajar/Mahasiswa/PNS/Swasta),Orang,673733
2011,Koleksi Buku,Eks,473512
2011,Fasilitas Sistem Pengelolaan Perpustakaan ,Sistem,2
2011,Perpustakaan Berstandar Internasional,Gedung,2
2011,Perpustakaan Berbasis Teknologi Informasi,Perpustakaan,4
2011,Komunitas Perpustakaan,Organisasi,4
2011,Taman Bacaan Masyarakat,Sanggar,140
2011,Pengguna Jasa Perpustakaan Keliling,Orang,204602
