Provinsi;Proporsi Remaja Dan Dewasa Usia 15-59 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi (Persen);;;;
;2015;2016;2017;2018;2019
ACEH;20.5;23.31;30.56;40.47;46.77
SUMATERA UTARA;22.09;25.99;35.11;43.65;51.78
SUMATERA BARAT;29.03;32.53;38.03;47.49;52.85
RIAU;28.49;32.33;39.78;49.45;55.37
JAMBI;24.51;27.03;32.8;43.42;50.83
SUMATERA SELATAN;21.8;25.2;32.03;41.33;46.5
BENGKULU;24.24;26.34;32.9;40.42;48.7
LAMPUNG;16.27;20.87;28.36;40.23;48.37
KEP. BANGKA BELITUNG;24.86;28.7;35.31;45.45;54.93
KEP. RIAU;43.42;50.1;58.87;65.6;77.18
DKI JAKARTA;53.25;58.4;71.39;77.14;85.17
JAWA BARAT;29.98;34.84;46.09;55.91;65.37
JAWA TENGAH;24.54;29.89;38.75;48.63;58.75
DI YOGYAKARTA;43.16;49.23;57.37;68.82;75.04
JAWA TIMUR;24.61;29.59;38.76;48.07;57.23
BANTEN;31.48;37.01;45.49;57.86;66.96
BALI;34.81;41.78;48.33;57.71;65.48
NUSA TENGGARA BARAT;18.26;23.71;30.04;37.11;47.85
NUSA TENGGARA TIMUR;14.63;18.92;25.3;29.65;36.33
KALIMANTAN BARAT;20.23;24.66;30.38;38.92;47.04
KALIMANTAN TENGAH;24.03;28.52;35.43;43.17;54.54
KALIMANTAN SELATAN;27.92;32.61;37.37;49.32;57.82
KALIMANTAN TIMUR;37.49;46.11;50.56;60.85;69.44
KALIMANTAN UTARA;30.88;38.5;45.68;58.42;65.36
SULAWESI UTARA;30.16;37.2;44.7;51.22;57.48
SULAWESI TENGAH;20.24;22.99;31.7;37.02;44.13
SULAWESI SELATAN;27.47;31.37;38.74;47.07;54.85
SULAWESI TENGGARA;23.02;28.27;35.14;43.94;53.36
GORONTALO;23.06;27.3;34.39;42.71;50.62
SULAWESI BARAT;16.6;20.86;26.24;33.95;40.95
MALUKU;22.11;27.55;31.55;39.2;44.02
MALUKU UTARA;15.37;19.21;25.1;34.24;38.11
PAPUA BARAT;22.95;26.08;34.68;45.41;52.37
PAPUA;11.43;15;21.29;24.23;26.45
INDONESIA;27.04;31.83;40.48;49.73;58.22
