Provinsi;Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi (Persen);;;;
;2015;2016;2017;2018;2019
ACEH;36.82;39.85;51.78;62.96;69.01
SUMATERA UTARA;44.62;51.11;63.9;71.24;77.28
SUMATERA BARAT;56.34;59.36;67.78;76.27;80.64
RIAU;52.28;56.25;66.69;75.76;82.03
JAMBI;50.53;53.48;62.67;74;81.58
SUMATERA SELATAN;44;49.45;61.55;72.36;77.26
BENGKULU;48.48;49.91;60.07;69.56;77.02
LAMPUNG;33.68;45.06;58.71;73.25;81.61
KEP. BANGKA BELITUNG;49.14;55.88;64.4;77.06;84.49
KEP. RIAU;68.63;76.6;84.48;86.37;93.05
DKI JAKARTA;80.01;82.53;89.93;92.15;95.41
JAWA BARAT;55.72;61.81;74.78;82.69;88.79
JAWA TENGAH;55.99;63.63;75.51;83.33;90.93
DI YOGYAKARTA;83.22;85.43;92.19;95.48;97.91
JAWA TIMUR;54.42;61.52;73.07;80.51;87.97
BANTEN;51.61;59.38;71.44;81.53;87.86
BALI;66.63;76.42;81.45;87.56;91.4
NUSA TENGGARA BARAT;36.83;46.63;54.67;66.23;77.54
NUSA TENGGARA TIMUR;22.49;29.12;38.68;43.32;51.03
KALIMANTAN BARAT;37.03;44.6;51.82;63.05;70.4
KALIMANTAN TENGAH;45.34;51.69;61.19;68.48;80.96
KALIMANTAN SELATAN;56.49;62.79;69;78.81;87.16
KALIMANTAN TIMUR;64.3;73.12;76.99;83.52;89.87
KALIMANTAN UTARA;53.85;63.36;72.13;80.51;87.29
SULAWESI UTARA;54.87;62.27;70.78;74.69;81.22
SULAWESI TENGAH;38.71;44.35;56.01;61.45;68.81
SULAWESI SELATAN;51.51;55.01;66.9;76.72;83.3
SULAWESI TENGGARA;42.3;49.68;59.71;70.66;79.51
GORONTALO;44.84;52.85;61.68;74.22;79.6
SULAWESI BARAT;32.38;39.58;49.39;57.05;68.06
MALUKU;38.64;42.98;49.6;54.29;60.17
MALUKU UTARA;27.15;30.15;35.19;49.32;52.88
PAPUA BARAT;37.47;39.4;50.04;61.29;65.4
PAPUA;17.03;23.09;30.42;33.48;32.88
INDONESIA;51.83;58.21;68.93;77.05;83.58
